,Feature Name,Importance,Standard Deviation
715,Frame11_INDEX_FINGER_DIP_y,0.00033882252454573266,0.003340219478728603
716,Frame11_INDEX_FINGER_DIP_z,9.063401736274984e-05,0.0012548674819670524
717,Frame11_INDEX_FINGER_TIP_x,0.0003663665464530084,0.0033464907257480564
718,Frame11_INDEX_FINGER_TIP_y,0.00028295976522587697,0.002813324797076672
719,Frame11_INDEX_FINGER_TIP_z,0.0001252561414727849,0.0013544378375916753
720,Frame11_MIDDLE_FINGER_MCP_x,0.000326210159957943,0.0034463176057258635
721,Frame11_MIDDLE_FINGER_MCP_y,0.00030295737810954207,0.002651432044927803
722,Frame11_MIDDLE_FINGER_MCP_z,0.00013543329323623953,0.0014661662083139723
723,Frame11_MIDDLE_FINGER_PIP_x,0.00026805172220820226,0.003068191618586706
724,Frame11_MIDDLE_FINGER_PIP_y,0.00027864484290877277,0.003304961538870987
725,Frame11_MIDDLE_FINGER_PIP_z,0.00021191573003884792,0.0025034416702001574
726,Frame11_MIDDLE_FINGER_DIP_x,0.00013527881639449467,0.0013467123825359137
727,Frame11_MIDDLE_FINGER_DIP_y,0.00030466752174661884,0.00322783743723361
728,Frame11_MIDDLE_FINGER_DIP_z,0.00015709435370575746,0.0017602036413713674
729,Frame11_MIDDLE_FINGER_TIP_x,0.00016486621167948408,0.002316573280428918
730,Frame11_MIDDLE_FINGER_TIP_y,0.00046130749752929423,0.0037846539247205317
731,Frame11_MIDDLE_FINGER_TIP_z,0.00010156424182633464,0.0013341652298151502
732,Frame11_RING_FINGER_MCP_x,8.040321017329496e-05,0.0009723420617780765
733,Frame11_RING_FINGER_MCP_y,0.00014269427989845908,0.001985783437099245
734,Frame11_RING_FINGER_MCP_z,0.00011188053194596047,0.0012497540135719106
735,Frame11_RING_FINGER_PIP_x,0.00013604527842874637,0.0016142327261418463
736,Frame11_RING_FINGER_PIP_y,0.000298786428859585,0.0030568727250614765
737,Frame11_RING_FINGER_PIP_z,0.00028635213211673587,0.0030490615579667982
738,Frame11_RING_FINGER_DIP_x,9.694192026459916e-05,0.00116165766093029
739,Frame11_RING_FINGER_DIP_y,0.0004716458244098223,0.003659259588427874
740,Frame11_RING_FINGER_DIP_z,5.5310716277975304e-05,0.0009151681220427222
741,Frame11_RING_FINGER_TIP_x,0.000149501951198139,0.0020808439419185846
742,Frame11_RING_FINGER_TIP_y,0.00028660204356311525,0.002682066985402809
743,Frame11_RING_FINGER_TIP_z,0.00011988591684866776,0.0013426814977732385
744,Frame11_PINKY_MCP_x,9.48121864051286e-05,0.001185591782361983
745,Frame11_PINKY_MCP_y,0.0001330406809558957,0.001795923194711179
746,Frame11_PINKY_MCP_z,0.0002366615365643807,0.0026982533561141315
747,Frame11_PINKY_PIP_x,8.142109085584552e-05,0.0013507181953908178
748,Frame11_PINKY_PIP_y,0.0002106124446067438,0.001971078137131603
749,Frame11_PINKY_PIP_z,8.546895250399793e-05,0.0011676745103192643
750,Frame11_PINKY_DIP_x,5.795128305187502e-05,0.0009583255660248952
751,Frame11_PINKY_DIP_y,0.0002974387662436348,0.0031356756780261093
752,Frame11_PINKY_DIP_z,3.157684205564835e-05,0.000459674677600462
753,Frame11_PINKY_TIP_x,5.974998507306478e-05,0.0007771808018543901
754,Frame11_PINKY_TIP_y,0.00016256547975567455,0.0015464015097380274
755,Frame11_PINKY_TIP_z,7.43411675106374e-05,0.0009948117965484918
756,Frame12_WRIST_x,0.0002105013131005475,0.001973346058504082
757,Frame12_WRIST_y,0.0004825911723141192,0.004137905159129379
758,Frame12_WRIST_z,0.0,0.0
759,Frame12_THUMB_CMC_x,0.00020768028986797347,0.002517892071291972
760,Frame12_THUMB_CMC_y,0.0007354445973542145,0.005765523661487308
761,Frame12_THUMB_CMC_z,9.370390959568875e-05,0.0010922862868647696
762,Frame12_THUMB_MCP_x,0.0002469936551757269,0.002387142667489454
763,Frame12_THUMB_MCP_y,0.0008745779999745245,0.005907708128115981
764,Frame12_THUMB_MCP_z,0.00012568505574266732,0.0012612145939863502
765,Frame12_THUMB_IP_x,0.0003474808929752459,0.003293679373080431
766,Frame12_THUMB_IP_y,0.0002807393195877585,0.0027829376710194315
767,Frame12_THUMB_IP_z,8.617993075152742e-05,0.0011438744676424628
768,Frame12_THUMB_TIP_x,0.000446288238649644,0.003546954860393758
769,Frame12_THUMB_TIP_y,0.00047729934591151616,0.004731962789615135
770,Frame12_THUMB_TIP_z,0.0001839300155797191,0.0016428146147552405
771,Frame12_INDEX_FINGER_MCP_x,0.00027437620454667685,0.002716973360173982
772,Frame12_INDEX_FINGER_MCP_y,0.00017625756470361317,0.002513366546243604
773,Frame12_INDEX_FINGER_MCP_z,9.205060038629657e-05,0.001156195488383116
774,Frame12_INDEX_FINGER_PIP_x,0.00022597244349160887,0.002809284197208888
775,Frame12_INDEX_FINGER_PIP_y,0.0003281405358261533,0.00321665004312475
776,Frame12_INDEX_FINGER_PIP_z,6.992988366106981e-05,0.0009706173197254967
777,Frame12_INDEX_FINGER_DIP_x,0.00031842623631606455,0.00292456268421061
778,Frame12_INDEX_FINGER_DIP_y,0.00043601186550027316,0.0036045017554570515
779,Frame12_INDEX_FINGER_DIP_z,0.00011657142566290451,0.0017304933095422022
780,Frame12_INDEX_FINGER_TIP_x,0.00038316811191510476,0.0032864058611409576
781,Frame12_INDEX_FINGER_TIP_y,0.00030350447063557073,0.002929078373251134
782,Frame12_INDEX_FINGER_TIP_z,4.589718969884072e-05,0.0007990553054049261
783,Frame12_MIDDLE_FINGER_MCP_x,0.00014772455029175076,0.001746636622060812
784,Frame12_MIDDLE_FINGER_MCP_y,0.00030166216259878796,0.0032944147949666262
785,Frame12_MIDDLE_FINGER_MCP_z,0.00010424708597430125,0.0016414096501500435
786,Frame12_MIDDLE_FINGER_PIP_x,0.00013693357004502778,0.0015893813935059795
787,Frame12_MIDDLE_FINGER_PIP_y,0.0003046432436775105,0.0034019099574575068
788,Frame12_MIDDLE_FINGER_PIP_z,6.870180376490006e-05,0.0010254424057846534
789,Frame12_MIDDLE_FINGER_DIP_x,0.00010606504006647501,0.0018554653811582666
790,Frame12_MIDDLE_FINGER_DIP_y,9.354666187400001e-05,0.0010248710328412882
791,Frame12_MIDDLE_FINGER_DIP_z,0.00013621744908292195,0.0015441469486950235
792,Frame12_MIDDLE_FINGER_TIP_x,0.00011016419571593146,0.0011492885662239475
793,Frame12_MIDDLE_FINGER_TIP_y,0.00044793726505810527,0.004345936956620112
794,Frame12_MIDDLE_FINGER_TIP_z,8.208738016379121e-05,0.0012387569145496551
795,Frame12_RING_FINGER_MCP_x,9.535731553173362e-05,0.0016039683639480003
796,Frame12_RING_FINGER_MCP_y,0.0004037608187944135,0.0035465798431302525
797,Frame12_RING_FINGER_MCP_z,0.00010332093436019084,0.001010890039818949
798,Frame12_RING_FINGER_PIP_x,0.00011107815477160505,0.0012242379061492149
799,Frame12_RING_FINGER_PIP_y,0.00021012504957648829,0.0026942680999822964
800,Frame12_RING_FINGER_PIP_z,0.00022687020047731132,0.0022279061842411345
801,Frame12_RING_FINGER_DIP_x,0.00011948448537912453,0.0013936322653448998
802,Frame12_RING_FINGER_DIP_y,0.0005111666033484066,0.004249838569904851
